part;vendor;datasheet;density;width;voltage;footprint_default;footprint_filters;temperature;ce;page_size;block_size;cells;speed;alias
MT29F1G16ABBFAH4;Micron;;1Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";;;;;SLC;;"[{""part"":""MT29F1G16ABBFAH4-AAT"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f1g16abbfah4-aat""},{""part"":""MT29F1G16ABBFAH4-AATES"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f1g16abbfah4-aates""},{""part"":""MT29F1G16ABBFAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f1g16abbfah4-it""}]"
MT29F256G08AUCABH3-10ITZ;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f256g08aucabh3-10itz;256Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F2G08ABAEAH4;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeah4;2Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F2G08ABAEAH4-AATX"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeah4-aatx""},{""part"":""MT29F2G08ABAEAH4-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeah4-aitx""},{""part"":""MT29F2G08ABAEAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeah4-it""},{""part"":""MT29F2G08ABAEAH4-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeah4-itx""}]"
MT29F2G08ABAEAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeawp;2Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F2G08ABAEAWP-AATX"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeawp-aatx""},{""part"":""MT29F2G08ABAEAWP-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeawp-aitx""},{""part"":""MT29F2G08ABAEAWP-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeawp-it""},{""part"":""MT29F2G08ABAEAWP-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abaeawp-itx""}]"
MT29F2G08ABAGAH4;Micron;;2Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";;;;;SLC;;"[{""part"":""MT29F2G08ABAGAH4-AAT"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagah4-aat""},{""part"":""MT29F2G08ABAGAH4-AATES"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagah4-aates""},{""part"":""MT29F2G08ABAGAH4-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagah4-ait""},{""part"":""MT29F2G08ABAGAH4-AITES"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagah4-aites""},{""part"":""MT29F2G08ABAGAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagah4-it""},{""part"":""MT29F2G08ABAGAH4-ITE"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagah4-ite""}]"
MT29F2G08ABAGAWP-ITE;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abagawp-ite;2Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F2G08ABBEAH4;Micron;;2Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;"[{""part"":""MT29F2G08ABBEAH4-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbeah4-aitx""},{""part"":""MT29F2G08ABBEAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbeah4-it""},{""part"":""MT29F2G08ABBEAH4-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbeah4-itx""}]"
MT29F2G08ABBEAHC-IT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbeahc-it;2Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;
MT29F2G08ABBGAH4;Micron;;2Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";;;;;SLC;;"[{""part"":""MT29F2G08ABBGAH4-AAT"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbgah4-aat""},{""part"":""MT29F2G08ABBGAH4-AATES"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbgah4-aates""},{""part"":""MT29F2G08ABBGAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g08abbgah4-it""}]"
MT29F2G16ABAEAWP;Micron;;2Gb;x16;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;"[{""part"":""MT29F2G16ABAEAWP-AAT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abaeawp-aat""},{""part"":""MT29F2G16ABAEAWP-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abaeawp-ait""}]"
MT29F2G16ABAGAWP;Micron;;2Gb;x16;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";;;;;SLC;;"[{""part"":""MT29F2G16ABAGAWP-AATES"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abagawp-aates""},{""part"":""MT29F2G16ABAGAWP-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abagawp-ait""},{""part"":""MT29F2G16ABAGAWP-AITES"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abagawp-aites""}]"
MT29F2G16ABBEAH4-AAT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abbeah4-aat;2Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";0 to +85°C;;;;SLC;;
MT29F2G16ABBEAHC-AIT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abbeahc-ait;2Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;
MT29F2G16ABBGAH4;Micron;;2Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +105°C;;;;SLC;;"[{""part"":""MT29F2G16ABBGAH4-AATES"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abbgah4-aates""},{""part"":""MT29F2G16ABBGAH4-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abbgah4-ait""},{""part"":""MT29F2G16ABBGAH4-AITES"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f2g16abbgah4-aites""}]"
MT29F32G08ABAAAWP-ITZ;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f32g08abaaawp-itz;32Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F32G08ABCABH1-10ITZ;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f32g08abcabh1-10itz;32Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F32G08ABCDBJ4-6;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f32g08abcdbj4-6;32Gb;x8;;Package_BGA:BGA-132_12x18mm_Layout11x17_P1.0mm;"[""Package*:*BGA*12x18mm*Layout11x17*P1.0mm*""]";0 to +70°C;;;;SLC;;
MT29F4G08ABADAH4;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadah4;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F4G08ABADAH4-AATX"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadah4-aatx""},{""part"":""MT29F4G08ABADAH4-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadah4-aitx""},{""part"":""MT29F4G08ABADAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadah4-it""},{""part"":""MT29F4G08ABADAH4-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadah4-itx""}]"
MT29F4G08ABADAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadawp;4Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F4G08ABADAWP-AATX"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadawp-aatx""},{""part"":""MT29F4G08ABADAWP-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadawp-aitx""},{""part"":""MT29F4G08ABADAWP-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadawp-it""},{""part"":""MT29F4G08ABADAWP-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abadawp-itx""}]"
MT29F4G08ABAEAH4;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abaeah4;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F4G08ABAEAH4-ITS"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abaeah4-its""}]"
MT29F4G08ABAEAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abaeawp;4Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F4G08ABAEAWP-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abaeawp-it""}]"
MT29F4G08ABAFAH4;Micron;;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +105°C;;;;SLC;;"[{""part"":""MT29F4G08ABAFAH4-AAT"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abafah4-aat""},{""part"":""MT29F4G08ABAFAH4-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abafah4-ait""},{""part"":""MT29F4G08ABAFAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abafah4-it""}]"
MT29F4G08ABAFAWP;Micron;;4Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";;;;;SLC;;"[{""part"":""MT29F4G08ABAFAWP-AAT"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abafawp-aat""},{""part"":""MT29F4G08ABAFAWP-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abafawp-ait""},{""part"":""MT29F4G08ABAFAWP-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abafawp-it""}]"
MT29F4G08ABBDAH4;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbdah4;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F4G08ABBDAH4-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbdah4-aitx""},{""part"":""MT29F4G08ABBDAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbdah4-it""},{""part"":""MT29F4G08ABBDAH4-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbdah4-itx""}]"
MT29F4G08ABBDAHC;Micron;;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;"[{""part"":""MT29F4G08ABBDAHC-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbdahc-ait""},{""part"":""MT29F4G08ABBDAHC-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbdahc-it""}]"
MT29F4G08ABBEAH4;Micron;;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";0 to +70°C;;;;SLC;;"[{""part"":""MT29F4G08ABBEAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/MT29F4G08ABBEAH4-it""}]"
MT29F4G08ABBFAH4;Micron;;4Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +105°C;;;;SLC;;"[{""part"":""MT29F4G08ABBFAH4-AAT"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbfah4-aat""},{""part"":""MT29F4G08ABBFAH4-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbfah4-ait""},{""part"":""MT29F4G08ABBFAH4-AITES"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g08abbfah4-aites""}]"
MT29F4G16ABADAH4-AIT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g16abadah4-ait;4Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;
MT29F4G16ABADAWP-AIT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g16abadawp-ait;4Gb;x16;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F4G16ABBDAH4;Micron;;4Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";;;;;SLC;;"[{""part"":""MT29F4G16ABBDAH4-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g16abbdah4-ait""},{""part"":""MT29F4G16ABBDAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g16abbdah4-it""}]"
MT29F4G16ABBFAH4-AAT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f4g16abbfah4-aat;4Gb;x16;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +105°C;;;;SLC;;
MT29F64G08AECABH1-10ITZ;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f64g08aecabh1-10itz;64Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F64G08AECDBJ4-6;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f64g08aecdbj4-6;64Gb;x8;;Package_BGA:BGA-132_12x18mm_Layout11x17_P1.0mm;"[""Package*:*BGA*12x18mm*Layout11x17*P1.0mm*""]";0 to +70°C;;;;SLC;;
MT29F64G08AFAAAWP-ITZ;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f64g08afaaawp-itz;64Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F64G08AJABAWP-IT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f64g08ajabawp-it;64Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F8G08ABABAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08ababawp;8Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";;;;;SLC;;"[{""part"":""MT29F8G08ABABAWP-AATX"",""temperature"":""-40 to +105°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08ababawp-aatx""},{""part"":""MT29F8G08ABABAWP-AITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08ababawp-aitx""},{""part"":""MT29F8G08ABABAWP-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08ababawp-itx""}]"
MT29F8G08ABACAH4-IT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08abacah4-it;8Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;
MT29F8G08ABACAWP-IT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08abacawp-it;8Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F8G08ABBCAH4-IT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08abbcah4-it;8Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;
MT29F8G08ADADAH4-IT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08adadah4-it;8Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;;;SLC;;
MT29F8G08ADAFAH4-AAT;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f8g08adafah4-aat;8Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +105°C;;;;SLC;;
